experiment,model,magnification,feature_set,stain_normalization,num_normal,num_tumour,use_scaling,accuracy_mean,accuracy_std,auc_mean,auc_std,pr_auc_mean,pr_auc_std,precision_mean,precision_std,f1_score_mean,f1_score_std,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,mcc_mean,mcc_std,accuracy_ci_low,accuracy_ci_high
svm_scaled_color_haralick_no_norm_full_100x_seed_42,svm,100x,color_haralick,,89,439,True,0.831,0.038,0.904,0.037,0.979,0.009,0.959,0.023,0.89,0.027,0.833,0.049,0.816,0.112,0.549,0.088,0.815,0.846
svm_scaled_color_haralick_no_norm_full_400x_seed_42,svm,400x,color_haralick,,201,495,True,0.856,0.029,0.91,0.028,0.954,0.023,0.925,0.023,0.895,0.023,0.867,0.034,0.829,0.055,0.673,0.064,0.844,0.868
svm_scaled_color_haralick_reinhard_201img_400x_seed_42,svm,400x,color_haralick,reinhard,201,201,True,0.817,0.045,0.884,0.048,0.88,0.059,0.82,0.052,0.815,0.045,0.812,0.055,0.822,0.057,0.636,0.089,0.799,0.836
svm_scaled_color_haralick_reinhard_20img_100x_seed_42,svm,100x,color_haralick,reinhard,20,20,True,0.518,0.091,0.436,0.241,0.613,0.179,0.28,0.321,0.257,0.296,0.26,0.319,0.78,0.306,0.037,0.204,0.48,0.555
svm_scaled_color_haralick_reinhard_20img_400x_seed_42,svm,400x,color_haralick,reinhard,20,20,True,0.631,0.155,0.723,0.2,0.773,0.17,0.689,0.199,0.62,0.162,0.61,0.205,0.643,0.263,0.274,0.333,0.567,0.695
svm_scaled_color_haralick_reinhard_89img_100x_seed_42,svm,100x,color_haralick,reinhard,89,89,True,0.807,0.069,0.872,0.077,0.88,0.065,0.854,0.088,0.791,0.081,0.743,0.098,0.87,0.078,0.621,0.137,0.779,0.835
svm_scaled_color_haralick_reinhard_full_100x_seed_42,svm,100x,color_haralick,reinhard,89,439,True,0.831,0.038,0.904,0.037,0.979,0.009,0.959,0.023,0.89,0.027,0.833,0.049,0.816,0.112,0.549,0.088,0.815,0.846
svm_scaled_color_haralick_reinhard_full_400x_seed_42,svm,400x,color_haralick,reinhard,201,495,True,0.856,0.029,0.91,0.028,0.954,0.023,0.925,0.023,0.895,0.023,0.867,0.034,0.829,0.055,0.673,0.064,0.844,0.868
svm_scaled_color_lbp_no_norm_201img_400x_seed_42,svm,400x,color_lbp,,201,201,True,0.798,0.039,0.874,0.032,0.881,0.035,0.807,0.044,0.793,0.042,0.783,0.06,0.814,0.052,0.599,0.078,0.782,0.815
svm_scaled_color_lbp_no_norm_20img_100x_seed_42,svm,100x,color_lbp,,20,20,True,0.604,0.162,0.556,0.248,0.667,0.17,0.494,0.357,0.467,0.338,0.48,0.367,0.727,0.294,0.215,0.346,0.538,0.671
